Tractor Name,Year,Hours,Company,Company URL,URL
Case IH Puma 220 4X4 New Holland T7 - STEYR,2020,8231h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/bas-world/114c8467,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-220-4x4-new-holland-t7-steyr/qeqdphyg.html
Case IH Puma 185 MC 4X4 FH + PTO - NEW HOLLAND T7 - STEYR,2019,6794h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/bas-world/114c8467,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-185-mc-4x4-fh-pto-new-holland-t7-steyr/mkyjykmh.html
Case IH IH Optum 300 CVX AFS,2022,1786h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/slecoma-bv/ea331204,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-ih-optum-300-cvx-afs/zouhqhpj.html
Case IH Puma 230 CVX,2014,10205h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/evax-bv/2302ef15,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-230-cvx/zfsjojvi.html
Case IH Puma T6 T7 6145,2024,"Bant, Flevoland, NL",,"https://www.mascus.co.ukhttps://www.mascus.co.uk/koop-van-der-wal-b-v/461f8ee6,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-t6-t7-6145/rm0ftnwj.html
Case IH MAGNUM 400 AFS CONNNECT,2022,121h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/dll/794bec45,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-magnum-400-afs-connnect/lcwbwbth.html
Case IH Puma 145,2014,7396h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/stm-trading/0b1d960a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-145/sishyhuo.html
Case IH Vestrum 120,2020,456h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/vroege-landbouwmachines/de2ba9dc,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-vestrum-120/0pxezfrf.html
Case IH PUMA 240 CVX (DEMO),"Duizel, Noord-Brabant, NL",N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/evax-bv/2302ef15,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240-cvx-demo/nirglmuc.html
Case IH International 844S - Met voorlader,1984,7824h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/abemec-bv/1b4be46d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-international-844s-met-voorlader/rhojoomp.html
