Title,Year,Hours,Horsepower,Location,Price,URL
Ford 6610,1994,"85
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","10,574 €",https://www.agriaffaires.co.uk/used/farm-tractor/44760297/ford-6610.html
John Deere 6230 PREMIUM,2007,"100
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","28,292 €",https://www.agriaffaires.co.uk/used/farm-tractor/45087397/john-deere-6230-premium.html
Massey Ferguson 698T,1986,"98
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","9,431 €",https://www.agriaffaires.co.uk/used/farm-tractor/44584101/massey-ferguson-698t.html
New Holland T7.210 POWER COMMAND,2018,"6,300
                                                                                                    h","165
                                                                                                    hp","United Kingdom,            , East Midlands              (Leicestershire)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44918174/new-holland-t7-210-power-command.html
John Deere 6120M & 623R,2022,"3,213
                                                                                                    h","120
                                                                                                    hp","United Kingdom,            , East Midlands",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44911419/john-deere-6120m-623r.html
John Deere 6155R,2020,"3,850
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , South East England","85,677 €",https://www.agriaffaires.co.uk/used/farm-tractor/44240086/john-deere-6155r.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
International 685L,1983,N/A,N/A,"United Kingdom,            , South East England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073221/international-685l.html
Case IH 4230XL Pro,1997,"4,626
                                                                                                    h","85
                                                                                                    hp","United Kingdom,            , North West England              (Cumbria)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45110769/case-ih-4230xl-pro.html
Fendt 516,2021,"972
                                                                                                    h","160
                                                                                                    hp","United Kingdom,            , South East England","114,255 €",https://www.agriaffaires.co.uk/used/farm-tractor/44943061/fendt-516.html
John Deere 6910,1998,N/A,N/A,"United Kingdom,            , South East England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073528/john-deere-6910.html
Fiat 100-90,1998,"100
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","12,289 €",https://www.agriaffaires.co.uk/used/farm-tractor/45087405/fiat-100-90.html
Fiat 80-66,1996,"80
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44790661/fiat-80-66.html
Massey Ferguson 8S265,Massey Ferguson 8s.265 Dyna 7,For sale / Offers,8S265,"United Kingdom,            , East Midlands","131,459 €",https://www.agriaffaires.co.uk/used/farm-tractor/44364016/massey-ferguson-8s265.html
Fiat 100-90,1997,"100
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","9,431 €",https://www.agriaffaires.co.uk/used/farm-tractor/44731463/fiat-100-90.html
John Deere 6155R,2016,"7,860
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","52,583 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086241/john-deere-6155r.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ford 5000,1973,N/A,N/A,"United Kingdom,            , South East England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073568/ford-5000.html
John Deere 6175R,2019,"4,787
                                                                                                    h","175
                                                                                                    hp","United Kingdom,            , East Midlands","94,879 €",https://www.agriaffaires.co.uk/used/farm-tractor/44774020/john-deere-6175r.html
New Holland 8360,1997,"11,500
                                                                                                    h","130
                                                                                                    hp","United Kingdom,            , East Midlands              (Leicestershire)","18,118 €",https://www.agriaffaires.co.uk/used/farm-tractor/43134966/new-holland-8360.html
Valtra N174V,2020,"1,000
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","85,734 €",https://www.agriaffaires.co.uk/used/farm-tractor/44702306/valtra-n174v.html
