Title,Year,Hours,Horsepower,Location,Price,URL
Massey Ferguson 6475 DYNA 6,2006,"5,200
                                                                                                    h","135
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Puy-de-Dôme)","33,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45013113/massey-ferguson-6475-dyna-6.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Case IH LUXXUM 100,2018,"3,100
                                                                                                    h","100
                                                                                                    hp","France,            , Bretagne              (Côtes-d'Armor)","55,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45054773/case-ih-luxxum-100.html
Valtra T183 VERSU,2013,"4,980
                                                                                                    h","180
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Haute-Saône)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44739142/valtra-t183-versu.html
Deutz-Fahr AGROTRON M620,2011,"5,154
                                                                                                    h","160
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Puy-de-Dôme)","45,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44138371/deutz-fahr-agrotron-m620.html
Case IH MAXXUM 150 MULTICONTROLLER,2019,"2,300
                                                                                                    h","150
                                                                                                    hp",France,"93,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/44460273/case-ih-maxxum-150-multicontroller.html
Valtra T 160,2003,N/A,N/A,Norway,"19,457 €",https://www.agriaffaires.co.uk/used/farm-tractor/45070039/valtra-t-160.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Claas ARION  660 CMATIC,2022,"3,600
                                                                                                    h","200
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45085629/claas-arion-660-cmatic.html
Case IH PUMA CVX 145,2013,"6,760
                                                                                                    h","145
                                                                                                    hp","France,            , Bretagne              (Ille-et-Vilaine)","60,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44413842/case-ih-puma-cvx-145.html
Case IH PUMA 150,2020,"4,700
                                                                                                    h","150
                                                                                                    hp","France,            , Bretagne              (Ille-et-Vilaine)","70,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44411738/case-ih-puma-150.html
Case IH OPTUM 270 CVX,2019,"2,600
                                                                                                    h","270
                                                                                                    hp","France,            , Bretagne              (Ille-et-Vilaine)","145,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44407134/case-ih-optum-270-cvx.html
John Deere 6150 R,2012,"8,673
                                                                                                    h","150
                                                                                                    hp","Germany,            , Niedersachsen","52,885 €",https://www.agriaffaires.co.uk/used/farm-tractor/44670721/john-deere-6150-r.html
Claas AXION 920,2015,"5,509
                                                                                                    h","320
                                                                                                    hp",France,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45092156/claas-axion-920.html
Case IH Luxxum 110,2013,"2,800
                                                                                                    h","110
                                                                                                    hp","France,            , Grand Est              (Moselle)","48,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/45063141/case-ih-luxxum-110.html
Case IH FARMALL 105 U PRO,2016,"4,609
                                                                                                    h","105
                                                                                                    hp",France,"52,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44460506/case-ih-farmall-105-u-pro.html
Kubota ME8200,2004,"1,024
                                                                                                    h",N/A,"France,            , Grand Est              (Marne)","29,800 €",https://www.agriaffaires.co.uk/used/farm-tractor/44747646/kubota-me8200.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 5100R,2019,"1,830
                                                                                                    h",N/A,"France,            , Bretagne              (Finistère)","59,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44851136/john-deere-5100r.html
John Deere 6195 R,"195
                                                                                                    hp",N/A,N/A,"France,            , Auvergne-Rhône-Alpes              (Drôme)",220.00 €,https://www.agriaffaires.co.uk/rental/farm-tractor/37774206/john-deere-6195-r.html
"Fendt 516 PROFI avec Terminal 12"" au plafond",2022,"590
                                                                                                    h","160
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Doubs)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45065711/fendt-516-profi-avec-terminal-12-au-plafond.html
Valtra N114H5 AVEC CHARGEUR + FREINS PNEUMATIQUES,2019,"1,400
                                                                                                    h","115
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Doubs)","73,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45058473/valtra-n114h5-avec-chargeur-freins-pneumatiques.html
Fendt 943 MT D'exception et Rare,2021,"650
                                                                                                    h","430
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Doubs)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073098/fendt-943-mt-d-exception-et-rare.html
Iseki Sial 19,2008,N/A,N/A,Norway,"9,261 €",https://www.agriaffaires.co.uk/used/farm-tractor/45071660/iseki-sial-19.html
Fendt 930 PROFI PLUS,2014,"11,043
                                                                                                    h","300
                                                                                                    hp",Belgium,"89,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44270042/fendt-930-profi-plus.html
New Holland T7.245 AC,2020,"1,250
                                                                                                    h",N/A,"France,            , Hauts-de-France              (Nord)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44901010/new-holland-t7-245-ac.html
New Holland T7.165S RANGE COMMAND S5,2021,"3,184
                                                                                                    h","165
                                                                                                    hp","France,            , Normandie              (Manche)","64,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44774135/new-holland-t7-165s-range-command-s5.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fendt 720 VARIO SCR PROFI PLUS,2012,"12,250
                                                                                                    h","200
                                                                                                    hp","Germany,            , Niedersachsen","63,885 €",https://www.agriaffaires.co.uk/used/farm-tractor/44975871/fendt-720-vario-scr-profi-plus.html
Massey Ferguson 1740E MP,2022,"38
                                                                                                    hp",N/A,"Germany,            , Niedersachsen","17,980 €",https://www.agriaffaires.co.uk/used/farm-tractor/43571030/massey-ferguson-1740e-mp.html
Valtra t195,2024,"200
                                                                                                    hp",N/A,Belgium,"155,000 €",https://www.agriaffaires.co.uk/new/farm-tractor/44814409/valtra-t195.html
Fendt 718 GEN6 POWER +,2020,"4,750
                                                                                                    h",N/A,"France,            , Grand Est              (Haut-Rhin)","117,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45081229/fendt-718-gen6-power.html
Fendt 720 PROFI,2014,"5,535
                                                                                                    h","200
                                                                                                    hp","France,            , Grand Est              (Haute-Marne)","82,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/45037322/fendt-720-profi.html
John Deere 6R185,2023,"185
                                                                                                    hp",N/A,"France,            , Occitanie              (Tarn-et-Garonne)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44612025/john-deere-6r185.html
Case IH PUMA CVX 200,2015,"3,990
                                                                                                    h","200
                                                                                                    hp","France,            , Occitanie              (Gers)","77,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44735389/case-ih-puma-cvx-200.html
Mc Cormick x5 100,2023,"490
                                                                                                    h","100
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Charente)","58,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44366638/mc-cormick-x5-100.html
Valtra N135 ACTIVE,2021,"1,300
                                                                                                    h","135
                                                                                                    hp","France,            , Occitanie              (Lot)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45102093/valtra-n135-active.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Massey Ferguson MF 3708 S,2020,"1,450
                                                                                                    h","85
                                                                                                    hp",France,"45,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45032468/massey-ferguson-mf-3708-s.html
Fendt FAVORIT 600 LS,1978,"9,571
                                                                                                    h","84
                                                                                                    hp","Germany,            , Niedersachsen","16,850 €",https://www.agriaffaires.co.uk/used/farm-tractor/44677795/fendt-favorit-600-ls.html
Fendt 724 SCR PROFI PLUS,2012,"12,462
                                                                                                    h","237
                                                                                                    hp","Germany,            , Niedersachsen","64,985 €",https://www.agriaffaires.co.uk/used/farm-tractor/44674283/fendt-724-scr-profi-plus.html
John Deere 6195R,2020,"5,000
                                                                                                    h",N/A,"France,            , Auvergne-Rhône-Alpes              (Loire)","98,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44253645/john-deere-6195r.html
Claas AXION 810 T4F CMATIC,2017,"3,500
                                                                                                    h","215
                                                                                                    hp","France,            , Occitanie              (Gers)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44910338/claas-axion-810-t4f-cmatic.html
John Deere 6R215,2023,"350
                                                                                                    h","215
                                                                                                    hp","France,            , Grand Est              (Aube)","178,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44564336/john-deere-6r215.html
Deutz-Fahr AGROTRON K 120 PL,2009,"3,970
                                                                                                    h","120
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Landes)","40,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44963498/deutz-fahr-agrotron-k-120-pl.html
Case IH 580 F Traktorgraver,1977,N/A,N/A,Norway,"3,823 €",https://www.agriaffaires.co.uk/used/farm-tractor/44916708/case-ih-580-f-traktorgraver.html
Claas Axion 810 CMatic Cebis Touch,2020,"3,066
                                                                                                    h","228
                                                                                                    hp","Germany,            , Niedersachsen","94,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/44984280/claas-axion-810-cmatic-cebis-touch.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 6420,2003,"6,950
                                                                                                    h",N/A,"France,            , Auvergne-Rhône-Alpes              (Ain)","36,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44283789/john-deere-6420.html
New Holland T7.270 AUTOCOMMAND,2013,"5,500
                                                                                                    h","240
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Yonne)","78,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44953437/new-holland-t7-270-autocommand.html
Kubota M 135,2013,"5,950
                                                                                                    h","135
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Ain)","33,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45010658/kubota-m-135.html
New Holland T7.315 HD,2016,"3,794
                                                                                                    h","315
                                                                                                    hp",France,"99,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44376291/new-holland-t7-315-hd.html
John Deere 6150R DIRECT DRIVE,2014,"2,060
                                                                                                    h","150
                                                                                                    hp","France,            , Grand Est              (Bas-Rhin)","85,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45095280/john-deere-6150r-direct-drive.html
Claas ARION 510 - STAGE V,2021,"3,600
                                                                                                    h","120
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Loire)","70,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44903478/claas-arion-510-stage-v.html
John Deere 6135R,2020,"3,900
                                                                                                    h","135
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Saône-et-Loire)","85,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44917284/john-deere-6135r.html
Valtra N 154 E,2018,"4,400
                                                                                                    h","150
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Loire)","70,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44943230/valtra-n-154-e.html
Claas AXION 850 HEXASHIFT S5,2022,"900
                                                                                                    h","260
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Saône-et-Loire)","150,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44736819/claas-axion-850-hexashift-s5.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Claas ARION 430 (A53/300),2018,"110
                                                                                                    hp",N/A,"France,            , Bourgogne-Franche-Comté              (Saône-et-Loire)","65,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44664020/claas-arion-430-a53-300.html
Claas ARION 430 (A53/300),2021,"850
                                                                                                    h","110
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Saône-et-Loire)","80,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44221541/claas-arion-430-a53-300.html
New Holland T5-120,2022,"3,500
                                                                                                    h","120
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Saône-et-Loire)","75,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44664032/new-holland-t5-120.html
Massey Ferguson 7722 S,2017,"5,985
                                                                                                    h","220
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Loire)","78,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44561454/massey-ferguson-7722-s.html
Claas AXION 830 CMATIC - STAGE V,2023,"1,003
                                                                                                    h","235
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Loire)","150,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44561451/claas-axion-830-cmatic-stage-v.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Claas ARION 510 - STAGE V,2022,"1,124
                                                                                                    h","120
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Saône-et-Loire)","83,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44108268/claas-arion-510-stage-v.html
Claas ARION 410 (A21/100),2021,"711
                                                                                                    h","90
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Saône-et-Loire)","75,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/43856866/claas-arion-410-a21-100.html
Claas ARION 430 STAGE V,2023,"110
                                                                                                    hp",N/A,"France,            , Bourgogne-Franche-Comté              (Saône-et-Loire)","82,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/43590003/claas-arion-430-stage-v.html
Claas ARION 420 (A52/200),2019,"2,696
                                                                                                    h","100
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Saône-et-Loire)","68,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/43143449/claas-arion-420-a52-200.html
Deutz-Fahr AGROTRON 130,2006,"6,920
                                                                                                    h","130
                                                                                                    hp","France,            , Grand Est              (Marne)","29,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45101401/deutz-fahr-agrotron-130.html
Valtra n154,2018,"1,600
                                                                                                    h","150
                                                                                                    hp","France,            , Grand Est              (Haute-Marne)","108,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/43950595/valtra-n154.html
Case IH 956 XL,1999,"12,400
                                                                                                    h","95
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Saône-et-Loire)","10,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45102044/case-ih-956-xl.html
Claas Axion 810 CMATIC CEBIS,2022,"2,270
                                                                                                    h",N/A,"Germany,            , Niedersachsen","119,900 €",https://www.agriaffaires.co.uk/used/farm-tractor/44550662/claas-axion-810-cmatic-cebis.html
Valtra N 174 ACTIVE,2016,"5,100
                                                                                                    h","165
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Allier)","59,800 €",https://www.agriaffaires.co.uk/used/farm-tractor/45089508/valtra-n-174-active.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deutz-Fahr AGRONTRON M620,2012,"5,120
                                                                                                    h","160
                                                                                                    hp","France,            , Pays de la Loire              (Maine-et-Loire)","45,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44541424/deutz-fahr-agrontron-m620.html
New Holland T 7.250,2015,"5,900
                                                                                                    h","215
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)","55,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44700867/new-holland-t-7-250.html
John Deere 6930,2010,"12,041
                                                                                                    h","160
                                                                                                    hp",Denmark,"46,788 €",https://www.agriaffaires.co.uk/used/farm-tractor/44930259/john-deere-6930.html
John Deere 6250R,2022,"250
                                                                                                    hp",N/A,"France,            , Grand Est              (Meurthe-et-Moselle)","187,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44462600/john-deere-6250r.html
Same Argon 70,1998,"9,500
                                                                                                    h","70
                                                                                                    hp",France,"15,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44802727/same-argon-70.html
Valtra T 234 V SmartTouch,2020,"3,500
                                                                                                    h","230
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Allier)","110,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44917950/valtra-t-234-v-smarttouch.html
Same EXPLORER 3 100,2009,"2,360
                                                                                                    h","100
                                                                                                    hp","France,            , Occitanie              (Ariège)","33,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45059534/same-explorer-3-100.html
Renault 120-54,1993,"14,400
                                                                                                    h","110
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Charente-Maritime)","9,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/44574591/renault-120-54.html
New Holland T 6.165 AUTOCOMMAND,2022,"1,600
                                                                                                    h","145
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Cantal)","102,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44317412/new-holland-t-6-165-autocommand.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Massey Ferguson MF 7715 DYNA VT,2017,"3,500
                                                                                                    h","150
                                                                                                    hp","France,            , Normandie              (Calvados)","78,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45048956/massey-ferguson-mf-7715-dyna-vt.html
Lamborghini R3 EVO 100,2011,"3,871
                                                                                                    h","100
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Haute-Savoie)","32,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/45018725/lamborghini-r3-evo-100.html
John Deere 6130R,2019,"1,970
                                                                                                    h","130
                                                                                                    hp","France,            , Grand Est              (Haut-Rhin)","95,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44462560/john-deere-6130r.html
Claas ARES 697 ATZ,2005,"7,500
                                                                                                    h","145
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Pyrénées-Altantiques)","35,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/43829710/claas-ares-697-atz.html
Case IH MAXXUM 150 MULTICONTROLLER,2019,"2,850
                                                                                                    h","150
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Creuse)","78,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/44431808/case-ih-maxxum-150-multicontroller.html
John Deere 6R 150,2022,"371
                                                                                                    h","150
                                                                                                    hp","Germany,            , Niedersachsen","129,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44073267/john-deere-6r-150.html
Deutz-Fahr 5080 D Keyline (B),2022,N/A,N/A,"Germany,            , Niedersachsen","47,900 €",https://www.agriaffaires.co.uk/used/farm-tractor/44553888/deutz-fahr-5080-d-keyline-b.html
Fendt 718 VARIO GEN6 PROFI PLUS,2021,"2,430
                                                                                                    h","181
                                                                                                    hp","Germany,            , Niedersachsen","159,885 €",https://www.agriaffaires.co.uk/used/farm-tractor/44975855/fendt-718-vario-gen6-profi-plus.html
JCB Fastrac 4220 Icone,2023,"230
                                                                                                    hp",N/A,Belgium,N/A N/A,https://www.agriaffaires.co.uk/new/farm-tractor/43876647/jcb-fastrac-4220-icone.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Massey Ferguson 8S.205 DYNA-7 EFFICIENT,2022,"1,079
                                                                                                    h","204
                                                                                                    hp","Germany,            , Niedersachsen","123,400 €",https://www.agriaffaires.co.uk/used/farm-tractor/44670733/massey-ferguson-8s-205-dyna-7-efficient.html
Claas Axion 810 CMATIC CEBIS,2022,"1,657
                                                                                                    h","215
                                                                                                    hp","Germany,            , Niedersachsen","133,900 €",https://www.agriaffaires.co.uk/used/farm-tractor/44927236/claas-axion-810-cmatic-cebis.html
Claas ARION 430,2017,"3,400
                                                                                                    h","110
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Haute-Saône)","56,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45064955/claas-arion-430.html
Case IH PUMA 165 MC,2021,"2,350
                                                                                                    h","180
                                                                                                    hp","France,            , Occitanie              (Tarn-et-Garonne)","92,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44946779/case-ih-puma-165-mc.html
New Holland T5.120 DYNAMIC COMMAND,2024,"82
                                                                                                    h","120
                                                                                                    hp","France,            , Occitanie              (Gers)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45026464/new-holland-t5-120-dynamic-command.html
Mc Cormick X6.430,2017,"3,400
                                                                                                    h","130
                                                                                                    hp","France,            , Occitanie              (Lozère)","47,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44805099/mc-cormick-x6-430.html
Massey Ferguson 8S.225 DYNA 7 EXCLUSIVE,2021,"2,915
                                                                                                    h","225
                                                                                                    hp","France,            , Hauts-de-France              (Somme)","95,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45101970/massey-ferguson-8s-225-dyna-7-exclusive.html
Deutz-Fahr D 40.1S,1960,"8,723
                                                                                                    h","38
                                                                                                    hp","Germany,            , Niedersachsen","4,900 €",https://www.agriaffaires.co.uk/used/farm-tractor/45101981/deutz-fahr-d-40-1s.html
Deutz-Fahr D 40,"3,942
                                                                                                    h",N/A,N/A,"Germany,            , Niedersachsen","4,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/45101979/deutz-fahr-d-40.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deutz-Fahr 6170 Powershift,2023,"171
                                                                                                    hp",N/A,"Germany,            , Niedersachsen",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44722119/deutz-fahr-6170-powershift.html
Valtra N 134 A,2016,"1,131
                                                                                                    h","136
                                                                                                    hp","Germany,            , Niedersachsen","84,885 €",https://www.agriaffaires.co.uk/used/farm-tractor/44674280/valtra-n-134-a.html
Massey Ferguson 7616 DYNA 6,2013,"6,200
                                                                                                    h","160
                                                                                                    hp","France,            , Bretagne              (Côtes-d'Armor)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44712166/massey-ferguson-7616-dyna-6.html
John Deere 8R370,2021,"1,958
                                                                                                    h","370
                                                                                                    hp","France,            , Occitanie              (Gers)","250,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44960877/john-deere-8r370.html
Deutz-Fahr AGROTRON150,2000,"9,867
                                                                                                    h",N/A,"France,            , Pays de la Loire              (Maine-et-Loire)","21,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44639364/deutz-fahr-agrotron150.html
Deutz-Fahr AGROFARM420 PL,2010,"7,742
                                                                                                    h",N/A,"France,            , Pays de la Loire              (Maine-et-Loire)","25,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/44629599/deutz-fahr-agrofarm420-pl.html
Massey Ferguson 7724S,2018,"4,200
                                                                                                    h","240
                                                                                                    hp","France,            , Occitanie              (Gers)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44629802/massey-ferguson-7724s.html
JCB Fastrac 150 T,1992,"8,272
                                                                                                    h","162
                                                                                                    hp","Germany,            , Saarland","23,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44148856/jcb-fastrac-150-t.html
Massey Ferguson 7475 DYNA VT,"5,699
                                                                                                    h","135
                                                                                                    hp",N/A,"Germany,            , Saarland","48,900 €",https://www.agriaffaires.co.uk/used/farm-tractor/44772366/massey-ferguson-7475-dyna-vt.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lamborghini Sprint 50,2022,"51
                                                                                                    hp",N/A,"Germany,            , Saarland","29,900 €",https://www.agriaffaires.co.uk/new/farm-tractor/42560401/lamborghini-sprint-50.html
Valtra N134 H5,2016,"3,150
                                                                                                    h","135
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Puy-de-Dôme)","65,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45024119/valtra-n134-h5.html
Fendt 720 PROFI PLUS,2022,"1,900
                                                                                                    h","200
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)","160,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44996208/fendt-720-profi-plus.html
Valtra T 215 Direct,2022,"1,047
                                                                                                    h","215
                                                                                                    hp","France,            , Occitanie              (Gers)","138,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44751136/valtra-t-215-direct.html
John Deere 1640,1984,"9,200
                                                                                                    h","62
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Puy-de-Dôme)","10,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/44824526/john-deere-1640.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 6155R,2016,"2,710
                                                                                                    h","155
                                                                                                    hp","France,            , Occitanie              (Gers)","95,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44532013/john-deere-6155r.html
Deutz-Fahr K420,2011,"4,716
                                                                                                    h","110
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Corrèze)","35,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/42675396/deutz-fahr-k420.html
John Deere 7230R,2011,"5,790
                                                                                                    h","230
                                                                                                    hp",Denmark,"70,383 €",https://www.agriaffaires.co.uk/used/farm-tractor/45040239/john-deere-7230r.html
Massey Ferguson 8730 DYNA VT,2020,"2,140
                                                                                                    h","300
                                                                                                    hp","France,            , Occitanie              (Gers)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44662863/massey-ferguson-8730-dyna-vt.html
Recherche tracteurs Fendt,"Le groupe Rullier cherche et achète tous types (Standards et spécialisés) de tracteurs Fendt.
N'hésitez pas à nous envoyer vos propositions par mail (descriptif et photos) ou par téléphone....",N/A,N/A,"France,            , Nouvelle-Aquitaine              (Charente)",N/A,https://www.agriaffaires.co.uk/wanted/farm-tractor/42873218/recherche-tracteurs-fendt.html
New Holland T5.110 EVOLUTION,2021,"728
                                                                                                    h","107
                                                                                                    hp","France,            , Bretagne              (Côtes-d'Armor)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45070384/new-holland-t5-110-evolution.html
John Deere 6250R,2018,"5,400
                                                                                                    h","250
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44970494/john-deere-6250r.html
Case IH MAXXUM 115 EP,2013,"5,900
                                                                                                    h","115
                                                                                                    hp","France,            , Centre-Val de Loire              (Cher)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44978966/case-ih-maxxum-115-ep.html
Massey Ferguson 8210 Power contrôle TRACTEUR AGRICOLE,2001,"9,105
                                                                                                    h",N/A,"France,            , Centre-Val de Loire              (Indre-et-Loire)","18,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/44838642/massey-ferguson-8210-power-contr-le-tracteur-agricole.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 8R410 with Frontlift,2024,"409
                                                                                                    hp",N/A,Belgium,N/A N/A,https://www.agriaffaires.co.uk/new/farm-tractor/44298377/john-deere-8r410-with-frontlift.html
Claas AXION 810,2017,"5,391
                                                                                                    h","215
                                                                                                    hp","France,            , Bretagne              (Ille-et-Vilaine)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45029289/claas-axion-810.html
New Holland T7.315 HD,2019,"5,000
                                                                                                    h","315
                                                                                                    hp",France,"113,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44905740/new-holland-t7-315-hd.html
Deutz-Fahr 6120,2020,"2,800
                                                                                                    h","120
                                                                                                    hp","France,            , Normandie              (Orne)","56,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44282434/deutz-fahr-6120.html
Case IH CVX 170,2002,"6,900
                                                                                                    h","170
                                                                                                    hp","France,            , Bourgogne-Franche-Comté              (Doubs)","27,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44974142/case-ih-cvx-170.html
