Title,URL
Massey Ferguson 8S.245 Dyna 7 Efficient,https://www.agriaffaires.co.uk/new/farm-tractor/44840553/massey-ferguson-8s-245-dyna-7-efficient.html
Massey Ferguson 240,https://www.agriaffaires.co.uk/used/farm-tractor/42942906/massey-ferguson-240.html
Massey Ferguson 165,https://www.agriaffaires.co.uk/used/farm-tractor/45102001/massey-ferguson-165.html
Massey Ferguson 698,https://www.agriaffaires.co.uk/used/farm-tractor/44784245/massey-ferguson-698.html
Massey Ferguson 6616 D6,https://www.agriaffaires.co.uk/used/farm-tractor/45013262/massey-ferguson-6616-d6.html
Massey Ferguson 290,https://www.agriaffaires.co.uk/used/farm-tractor/44776243/massey-ferguson-290.html
Massey Ferguson 7S.180,https://www.agriaffaires.co.uk/used/farm-tractor/44607307/massey-ferguson-7s-180.html
Massey Ferguson 8S.225 Dyna 7 Exclusive,https://www.agriaffaires.co.uk/new/farm-tractor/44532532/massey-ferguson-8s-225-dyna-7-exclusive.html
Massey Ferguson 595,https://www.agriaffaires.co.uk/used/farm-tractor/45109300/massey-ferguson-595.html
Massey Ferguson 590,https://www.agriaffaires.co.uk/used/farm-tractor/42332637/massey-ferguson-590.html
Massey Ferguson 8S.225,https://www.agriaffaires.co.uk/used/farm-tractor/44532550/massey-ferguson-8s-225.html
Massey Ferguson 178,https://www.agriaffaires.co.uk/used/farm-tractor/44751303/massey-ferguson-178.html
Massey Ferguson 5610 DYNA 4,https://www.agriaffaires.co.uk/used/farm-tractor/45157780/massey-ferguson-5610-dyna-4.html
Massey Ferguson 8S.265 DVT,https://www.agriaffaires.co.uk/used/farm-tractor/45076310/massey-ferguson-8s-265-dvt.html
Massey Ferguson 3080,https://www.agriaffaires.co.uk/used/farm-tractor/44867289/massey-ferguson-3080.html
Massey Ferguson 8S.265 Dyna 7,https://www.agriaffaires.co.uk/used/farm-tractor/43875181/massey-ferguson-8s-265-dyna-7.html
Massey Ferguson 399,https://www.agriaffaires.co.uk/used/farm-tractor/45066700/massey-ferguson-399.html
Massey Ferguson 7718 DYNA 6 EFFICIENT,https://www.agriaffaires.co.uk/used/farm-tractor/44635563/massey-ferguson-7718-dyna-6-efficient.html
