Name,Address,Postal Code,Locality,Brands,Website,URL
,,,,,
BayWa AG GMZ Dinkelsbühl,Von-Raumerstr. 7,91550,Dinkelsbühl - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa.de
BayWa Obertraubling,Edekastraße 8,93083,Obertraubling - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa.de
B+S Landtechnik GmbH,Lassahner Str. 21,19300,Grabow - Germany,John Deere,www.bs-landtechnik.de
Wilhelm Mayer Gottenheim GmbH & Co KG,Bötzinger Str. 12,79288,GOTTENHEIM - Germany,"Alö, Binderberger, Brantner, Case IH, Krone, Siloking, Steyr, Vaderstad",www.wm-gottenheim.de
Sham Machinery,Rauental 77A,42289,Wuppertal - Germany,,www.sham-machinery.com
Türpisch Landmaschinen,Am Weinberg 28,06722,Wetterzeube OT Haynsburg - Germany,,ct-landmaschinen.de/
LTZ Chemnitz GmbH,Mühlauer Straße 11,09232,Hartmannsdorf - Germany,CLAAS,www.claasboerse-sued.com
BayWa AG Bamberg T170,Hafenstrasse 5,96052,Bamberg - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, CLAAS",www.baywa.de
BayWa AG GMZ Bamberg,Hafenstraße 5,96052,Bamberg - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa.de
Agrartechnik Vertrieb Sachsen GmbH,Zweitannenweg 3,01561,Ebersbach - Germany,"Annaburger, GEA, Grimme, Holmer, Horsch, JCB, Krone, Lemken, New Holland, Strautmann",www.agrartechnik-sachsen.de
W.Doormann&Kopplin GmbH&Co.KG,Ratjendorfer Weg 2-10,24217,Schönberg - Germany,"Horsch, JCB, Joskin, Kerner, Kuhn, Massey Ferguson, Rauch",www.doormann-kopplin.de
Harald Bruhns GmbH,Postliner Straße 18h,19357,Karstädt - Germany,Fendt,
WORCH LANDTECHNIK GMBH,Nordstrasse 1,39264,SCHORA STADT ZERBST - Germany,"Amazone, Bednar, Brantner, Fliegl, Kverneland, Muthing, Rabe, Strautmann, Weidemann, CLAAS",
Oliver Schmitt Gabelstapler,Schloßstr. 66,64668,Rimbach - Germany,,www.gbl-schmitt.de
HAWART OMV Landtechnik GmbH,Wulkenziner Str. 16,17033,D-Neubrandenburg / Weitin - Germany,"Horsch, John Deere, Manitou",
Kattelmann landtechnik,Im Meer 4,28816,Stuhr - Germany,,
Krull Landtechnik GmbH,Ziegelkamp 5,26901,Lorup - Germany,,www.krull-landtechnik.de
Wüstenberg Landtechnik Börm GmbH & Co.KG,Dorfstrasse 3,24863,Börm - Germany,,
Maschinen Bader-Ritter GmbH & Co KG,Bötzinger Straße 8,79111,Freiburg - Germany,"Brielmaier, Case, Deutz-Fahr, Fendt, Kärcher, Kubota, Massey Ferguson, New Holland, New Holland Agriculture, Posch, Pöttinger, Rapid, Reform, Ritter, sepp knusel, Stihl, Toro, Valmet",www.bader-ritter.de
Podlasly Baumaschinen GmbH,Zeiss-Straße 18,23626,Ratekau - Germany,"Caterpillar, Komatsu, Volvo",www.podlasly-baumaschinen.de
CLAAS Main-Donau GmbH & Co. KG - Vohburg,Kronwiedstr. 2,85088,Vohburg - Germany,CLAAS,
Faltner GmbH,Hauptstraße 20 - 24,94124,Büchlberg - Germany,,
REBO Motorgeräte Handels- und Reparatur GmbH,Daimlerstraße 1,49661,Cloppenburg - Germany,John Deere,www.rebo-gebraucht.de
Wüstenberg Landtechnik GmbH & Co. KG,Am Schulwald 3-5,25813,Husum - Germany,,
Wüstenberg Landtechnik GmbH & Co. KG,Teterower Straße 60,17168,Jördestorf - Germany,,
Schlüter Landtechnik,Oberer Westring 26,33142,Büren - Germany,,
TechnikCenter Grimma GmbH,Gewerbestraße 1,04688,Grimma / OT Mutzschen - Germany,CLAAS,www.claasboerse-sued.com
S & L Connect GmbH,John-Deere-Straße 4,03249,Sonnenwalde - Germany,John Deere,www.schlieper-agrarservice.de/
BLT Brandenburger Landtechnik GmbH,Liebenthaler Bahnhof 2,16909,Heiligengrabe OT Liebenthal - Germany,"Amazone, Honda, Husqvarna, Köckerling, Kverneland, Lemken, Muthing, Samson, Strautmann, Tebbe, Vaderstad, Weidemann, Zunhammer, CLAAS",
LVA Landtechnik GmbH Zweigniederlassung,Kleptow 25H,17291,Schenkenberg - Germany,,
BayWa AG Großweitzschen GMZ,Heiterer Blick 6,04720,Großweitzschen - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa-standorte.de/landtechnik-herzberg/
JCB Vertrieb & Service GmbH,Europaallee 113,50226,Frechen - Germany,"Caterpillar, Doosan, JCB, John Deere, Komatsu, Kramer, Kubota, Liebherr, Volvo, Wacker Neuson",
Harvest Park GmbH,Darwinstrasse 1,48488,Emsbüren - Germany,"Case, Deutz-Fahr, Geringhoff, John Deere, Kemper, Krone, New Holland, CLAAS",www.harvestpark.com
BayWa AG Kommunal-Vertriebszentrum Franken,Hafenstraße 5,96052,Bamberg - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, CLAAS",www.baywa.de
CLAAS Main-Donau  GmbH & Co. KG - Aurach,Steinauer Weg 13,91589,Aurach - Germany,CLAAS,
CLAAS Südostbayern GmbH - Grabenstätt-Erlstätt,Kirchbergstr. 1,83355,Grabenstätt-Erlstätt - Germany,CLAAS,www.claasboerse-sued.com
Harms Landtechnik GmbH,"Hauptstraße 2
                                                                    2",27404,Sassenholz - Germany,,
Ewers Landtechnik GmbH & Co.KG,Laurentiusstraße 9,33154,Salzkotten-Thüle - Germany,Massey Ferguson,www.ewers-landtechnik.de
k&h Landmaschinenhandel,Expopark 1,15236,Jacobsdorf - Germany,"Amazone, Dammann, Hawe, Köckerling, Krampe, Tebbe, Trioliet, Weidemann, Zunhammer, CLAAS",www.k-h-landmaschinen.de
Raiffeisen Technik Nord-Ost GmbH,Dorfstraße 52,17129,Kruckow - Germany,,rt-nord-ost.de
BayWa AG GMZ Mindelheim,Allgäuerstr. 38,87711,Mindelheim - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa.de
Carl Beutlhauser Kommunal- und Förder- technik GmbH & Co. KG,Regensburger Straße 23,93095,Hagelstadt - Germany,"Bucher Municipal, Dücker, Duecker, Goupil, Hansa, Lindner, Mercedes-Benz, Mulag, Reform, Zaugg",
