Name,Address,Postal Code,Locality,Brands,Website
CHESNEAU AGRI-OUEST,7 Rue du Calvaire  (Axe LAVAL-LE MANS N157) ou par autoroute A81 et sortie N°1,72540,Joué-en-Charnie - France,"Bednar, John Deere, Kramer, Kuhn",
CLAAS MACON,ZI des Berthilliers - 407 Chemin des Jonchères,71850,CHARNAY LES MACON - France,"Agrisem, CLAAS",www.tractomarket.com/macon
EXPEMAT,Parc Technologique du Canal,31520,Ramonville-Saint-Agne - France,,
BOSSON SAS,123 route de la Bergue,74380,CRANVES-SALES - France,"Fendt, JCB",www.bosson-sa.com
CHAVANEL SAS,230 Rue des Champagnes,73290,LA MOTTE SERVOLEX - France,"Deutz-Fahr, Same",www.chavanel.fr
TMC BEJENNE,951 rue de la Glandée,86530,NAINTRÉ - France,,
RUAUX AGRICOLE SAS,RN 13,14100,MAROLLES - France,"Caterpillar, John Deere",
AIMA PAYS DE CHALLANS,"80 RUE GUSTAVE EIFFEL - BP 619
                                                                    P.A DE LA BLOIRE",85300,CHALLANS Cedex - France,"Kuhn, New Holland Agriculture",www.aima-groupe.fr
POEY AGRICULTURE SAS,RD 936 - Rond-point de Castelnau-Camblon,64190,NAVARRENX - France,New Holland Agriculture,
MCDA,ZAC de JUILLAT,63260,AIGUEPERSE - France,"John Deere, Kramer, Pichon, Pöttinger",www.groupemcda.fr/
ETS GABILLET,Route de Saint Jean Brevelay,56420,PLUMELEC - France,New Holland Agriculture,
VACHER,ZAC de Layat - Route de Paris,63200,RIOM - France,"Fendt, Kubota, Kverneland, Massey Ferguson, Merlo",
AGRIPELLE,LD La Chapelle St Martin,79350,Chiché - France,"JCB, Kubota, Manitou",www.agripelle.com
EMC2,Nid de Cygne,55100,BRAS SUR MEUSE - France,"Caterpillar, Fendt, Massey Ferguson",
GILLY  SAS,RN 85 les Faisses,4510,Mallemoisson - France,"Same, CLAAS",
AGRI MONNAIE,"rd 910
                                                                    Le Boulay",37380,Monnaie - France,"Agrofactory, Jarmet, Landstal, Metal-technik, Sonarol, Stark, Talex",
DUBOURG Y. SAS,1 Rue de l'orée du Bois - BP 17,44130,BLAIN - France,"Agrisem, JCB, Kuhn, CLAAS",
TERAGRI MATERIELS ET SERVICES,88 route de Sommery,76440,Mauquenchy - France,CLAAS,
CLAAS BRETAGNE SUD,ZA Goheleve - BP 88,56300,PONTIVY - France,CLAAS,www.tractomarket.com/bretagnesud
DOUSSET MATELIN,18 Avenue de l'Europe,86170,NEUVILLE DE POITOU - France,"Agrifac, Amazone, Berthoud, Desvoys, Fliegl, Kioti, Lemken, Maschio, Maschio Gaspardo, Merlo, Ovlac, Rabe, Rousseau, Sulky, CLAAS",www.dousset-matelin.com
LENDRE SAS,Le Bourg,64190,NARP - France,Massey Ferguson,
BL PRO,Rue Henri Pluyaud,23300,La Souterraine - France,"Kuhn, Massey Ferguson",
MESSEANT SAS,ZA du Trehoult,62490,VITRY EN ARTOIS - France,Valtra,www.messeant.fr/occasion-agriculture
SARL CROZET,254 route du Forez,42260,CREMEAUX - France,"Caterpillar, Fendt",www.crozetagricole.com
MOTIN SAS - AMS,Route de St Lô,50180,Saint-Gilles - France,"Belair, Joskin, Kverneland, Lely, Massey Ferguson, Pöttinger, SMA, Welger",www.motin.fr/
CASA SERVICE MACHINE,ZI Est Avenue d'Immecourt,62217,TILLOY LES MOFFLAINES - France,"Grégoire Besson, Grimme, Trioliet, CLAAS",
LEBAUDY JACQUES SAS,Route de Tinchebray - BP 1,61700,LONLAY-L'ABBAYE - France,"Caterpillar, John Deere",
AGRI BESSIN,ZA Bayeux Intercom,14400,ST MARTIN DES ENTREES - France,"Bruneau, Demblon, Kuhn, Maupu, Rau-Vicon, Sulky",
Agripartner – Société GANAYE,ZA le charconnay,79270,ST SYMPHORIEN - France,,
MOULIAC & FILS SARL,Route des Bessières,12420,Sainte-Geneviève-sur-Argence - France,CLAAS,
DAVID EST,5 Rue Albert Caquot,8400,VOUZIERS - France,"Case IH, Khun, Kuhn",
